genus_species,AUTHOR,order,suborder,family,year,Rege.Date.Source,Intentional_Release,Host_Group,origin,origin2,PHAGY,Source,Synonym,TSN,Canada.or.US,Confirmed.Establishment,Comment,eradicated
Acrobasis suavella,(Zincken),Lepidoptera,"NA",Pyralidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.
www.funet.fi/pub/sci/bio/life/insecta","NA","NA","NA","NA","NA",NA
Acrolepiopsis assectella,Zeller,Lepidoptera,"NA",Yponomeutidae,1993,"NA","NA","NA",Palearctic(Europe),"NA","NA",Olmstead and Shelton (2012) Evaluation of Insecticide Chemistries Against the Leek Moth (Lepidoptera: Acrolepiidae) a New Pest in North America. Florida Entomologist 95: 1127-1131,"NA","NA","NA","NA","NA",NA
Acrotomus succinctus,(Grayenhorst),Hymenoptera,"NA",Ichneumonidae,1962,"NA","NA","NA",Palearctic(Europe),"NA","NA",Entomofauna Zeitschrift fuer Entomologie. Band 12 Heft 3: 33-48 ISSN 0250-4413 Ansfelden. 15 Maerz 1991,"NA","NA","NA","NA","NA",NA
Acrotona parvula,(Mannerheim),Coleoptera,"NA",Staphylinidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Acrotona pygmaea,(Gravenhorst),Coleoptera,"NA",Staphylinidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Acrotona sordida,(Marsham),Coleoptera,"NA",Staphylinidae,1919,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"Nehemitropia lividipennis,Oxypoda lividipennis","NA","NA","NA","NA",NA
Acupalpus meridianus,Linnaeus,Coleoptera,"NA",Carabidae,1946,"NA",N,"NA",Palearctic(Europe),"NA",Predator,http://eol.org/pages/1036916/overview; http://data.gbif.org/occurrences/769216809,"NA","NA","NA","NA","NA",NA
Acutaspis aliena,(Newstead),Hemiptera,Sternorrhyncha,Diaspididae,1919,"NA","NA",cabbage and maggots,Neotropic,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Acyrthosiphon caraganae,(Cholodkovsky),Hemiptera,"NA",Aphididae,1899,"NA","NA","NA",Palearctic(Europe),"NA","NA","Aukema 2010, Ives and Wong 1988","NA","NA",Canada,Y,Accept this earlier record,NA
Acyrthosiphon kondoi,Shinji,Hemiptera,"NA",Aphididae,1974,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Asia),"NA","NA",Foottit (2012) Aphids (Hemiptera: Aphididae and Adelgidae) of Hawaii: Annotated List and Key to Species of an Adventive Fauna. Pacific Science. 66:1-30,"NA",200571,US,Y,"NA",NA
Acyrthosiphon lactucae,"NA",Hemiptera,"NA",Aphididae,1943,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA",US,Y,"NA",NA
Acyrthosiphon loti,Theobald,Hemiptera,"NA",Aphididae,1975,"Dowell, Robert V. and Raymond Gill. 1989. Exotic invertebrates and their effects on California. Pan-Pacific Entomologist 65(2): 132-145.","NA","NA",Palearctic(Europe),"NA","NA","Dowell, Robert V. and Raymond Gill. 1989. Exotic invertebrates and their effects on California. Pan-Pacific Entomologist 65(2): 132-145.","NA","NA",US,Y,Does not appear in Foottit or Skvarla lists? (Skvarla was unaware of the reference. But I can't access the reference either to check it),NA
Acyrthosiphon malvae,Theobald,Hemiptera,"NA",Aphididae,1891,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.",Acyrthosiphon pelargonii,"NA",US,Y,"NA",NA
Acyrthosiphon pisum,(Harris),Hemiptera,"NA",Aphididae,1877,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA",200572,US,Y,"NA",NA
Acyrthosiphon scariolae,Nevsky,Hemiptera,"NA",Aphididae,1949,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA",Canada,"NA",Does not appear in Foottit or Skvarla lists?,NA
Acyrthosiphon sibiricum,Mordvilko,Hemiptera,"NA",Aphididae,1914,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,Microlophium sibiricum,"NA",unknown species,N,unknown speices?,NA
Adelencyrtus aulacaspidis,Brethes,Hymenoptera,"NA",Encyrtidae,1949,"NA","NA",target host: Coleophora laricella: larch casebearer,Neotropic,"NA","NA","NANIAD
MatoÃƒâ€¦Ã‚Â¡eviÃƒâ€žÃ¢â‚¬Â¡ (2013) Strane fitofagne vrste kukaca i grinja na drvenastom bilju u Hrvatskoj. Ãƒâ€¦Ã‚Â umarski list. 3ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“4: 191ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“205","NA","NA","NA","NA","NA",NA
Adelges abietis,Linneaus,Hemiptera,Sternorrhyncha,Adelgidae,1881,"NA","NA",stored products,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Adelges laricis,Vallot,Hemiptera,Sternorrhyncha,Adelgidae,1895,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Adelges nordmannianna,(Eckstein),Hemiptera,Sternorrhyncha,Adelgidae,1928,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Adelges piceae,(Ratzeburg),Hemiptera,Sternorrhyncha,Adelgidae,1908,"NA","NA",predator of Unaspis euonymi (euonymus scale),Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Adelges tsugae,Annand,Hemiptera,Sternorrhyncha,Adelgidae,1951,http://www.invasivespeciesinfo.gov/animals/hwa.shtml,"NA","NA",Palearctic(Asia) Palearctic(Asia),"NA","NA","McClure & Cheah (1999) Reshaping the ecology of invading populations of hemlock woolly adelgid Adelges tsugae (Homoptera: Adelgidae) in eastern North America. Biological Invasions 1 247-254.
","NA","NA","NA","NA","NA",NA
Adelphocoris lineolatus,(Goeze),Hemiptera,Prosorrhyncha,Miridae,1917,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Adistemia watsoni,(Wollaston),Coleoptera,"NA",Latridiidae,1974,"Hoebeke, E. Richard, and A.G. Wheeler, Jr. 1983. Exotic insects reported new to northeastern United States and eastern Canada since 1970. Journal of the New York Entomological Society 91(3): 193-222.; Becker, E.C. 1977. New and noteworthy records of Coleoptera in Canada (1). Ann. Entomol. Soc. Quebec 22:14-17.","NA","NA",Palearctic(Europe),"NA","NA",Hoebeke and Wheeler (1983) Exotic insects reported new to northeastern United States and eastern Canada since 1970. New York Entomological Society 91 193-222,"NA","NA","NA","NA","NA",NA
Adoretus sinicus,Burmeister,Coleoptera,"NA",Rutelidae,1875,"Capinera, John L. 2002. North American vegetable pests: the pattern of invasion;; American Entomologist 48(1): 20-39.","NA","NA",Palearctic(Asia),"NA","NA","Capinera, John L. 2002. North American vegetable pests: the pattern of invasion;; American Entomologist 48(1): 20-39.","NA","NA","NA","NA","NA",NA
Aedes aegypti,(Linnaeus),Diptera,"NA",Culicidae,1700,"NA","NA",host insect: D. considerata: D. grandiosella; host plant: Sugarcane; parasite of corn earworm: bollworm: Helicoverpa zea & tobacco budworm: Heliothis virescens,Afrotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aedes albopictus,(Skuse),Diptera,"NA",Culicidae,1985,http://www.invasivespeciesinfo.gov/animals/asiantigmos.shtml,"NA","NA",Palearctic(Asia) Palearctic(Asia)  Afrotropic,"NA","NA",Kambhampati et al (1991) Geographic origin of the US and Brazilian Aedes albopictus inferred from allozyme analysis. Heredity 67: 85-93,"NA","NA","NA","NA","NA",NA
Aedes bahamensis,Berliin,Diptera,"NA",Culicidae,1986,"NA","NA",parasite of codling moth: Cydia pomonella; navel orangeworm: Amyelois transitella,Neotropic,"NA","NA",Frank and McCoy (1993) Introduction to the Behavioral Ecology of Introduction. The Introduction of Insects into Florida. The Florida Entomologist 76 1-53.,"NA","NA","NA","NA","NA",NA
Aedes togoi,(Theobald),Diptera,"NA",Culicidae,1950,"NA","NA",predator of spruce budworm: Choristoneura fumiferana,Palearctic(Asia)  Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aegialia arenaria,Fabricius,Coleoptera,"NA",Scarabaeidae,"NA","NA","NA",forest trees: ornamental plants and flowers,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aegialia rufa,Fabricius,Coleoptera,"NA",Scarabaeidae,"NA","NA","NA",forest trees: ornamental plants and flowers,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aelothrips albicinctus,Haliday,Thysanoptera,"NA",Aeolothripidae,1912,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aenasius paulistus,Compere,Hymenoptera,"NA",Encyrtidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aeolothrips melaleucus,Haliday,Thysanoptera,"NA",Aeolothripidae,1915,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aeolothrips vittatus,Haliday,Thysanoptera,"NA",Aeolothripidae,1912,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aethina tumida,Murray,Coleoptera,"NA",Nitidulidae,1998,"Frank, J.H. and M.C. Thomas. 2013. Invasive insects (adventive pest insects) in Florida. Publication #ENY-827; 10 pp.","NA","NA",Africa,"NA","NA","Frank, J.H. and M.C. Thomas. 2013. Invasive insects (adventive pest insects) in Florida. Publication #ENY-827; 10 pp.","NA","NA","NA","NA","NA",NA
Aethus nigritus,(Fabricius),Hemiptera,Prosorrhyncha,Cydnidae,1977,"Hoebeke, E. Richard, and A.G. Wheeler, Jr. 1983. Exotic insects reported new to northeastern United States and eastern Canada since 1970. Journal of the New York Entomological Society 91(3): 193-222.; Hoebeke, E.R. 1978. U.S. Dept. Agric., Coop. Plant Pest Rep. 3(29): 376.; Hoebeke, E.R. 1980. U.S. Dept. Agric., Coop. Plant Pest Rep. 5(36): 691.","NA",stored products,Palearctic(Europe) Palearctic(Asia),"NA","NA","Hoebeke, E. R., & Wheeler Jr, A. G. (1984). Aethus nigritus (F.) a palearctic burrower bug established ineastern North America (Hemiptera-Heteroptera: Cydnidae). Proceedings-Entomological Society of Washington 86: 738-744.","NA","NA","NA","NA","NA",NA
Aganaspis daci,(Weld),Hymenoptera,"NA",Eucoilidae,1978,"NA",I,pea leaf weevil: Sitona lineatus; clover root curculio: Sitona hispidulus,Indomalaya,"NA",Parasite,"Clausen C.P. 1978. Introduced parasites and predators of arthropod pests and weeds: a world reviews. U.S. Department of Agricultural Handbook No. 480. pp. 320ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“335.
http://paroffit.org/public/public_content/show/13198?content_template_id=54
ROBO 1981, Pub. 1464, pg. 11",Trybliographa daci,"NA","NA","NA","NA",NA
Agapeta zoegana,(Linnaeus),Lepidoptera,"NA",Cochylidae,1984,"NA","NA","NA",Palearctic(Europe),"NA","NA",http://www.biocontrol.entomology.cornell.edu/weedfeed/Agapeta.html,"NA","NA","NA","NA","NA",NA
Agasicles hygrophila,SelmanandVogt,Coleoptera,"NA",Chrysomelidae,1964,"NA",I,ornamental plants and flowers,Palearctic(Europe)  Neotropic,"NA",Herbivore,"http://www.biocontrol.entomology.cornell.edu/weedfeed/Agasicles.html
http://en.wikipedia.org/wiki/Agasicles_hygrophila; Biological control of weeds, 1998.","NA","NA","NA","NA","NA",NA
Agathis dimidiator,(Nees),Hymenoptera,"NA",Braconidae,1850,"NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Agathis diversa,Muesebeck,Hymenoptera,"NA",Braconidae,1933,"NA",I,"NA",Palearctic(Asia),"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 213","NA","NA","NA","NA","NA",NA
Agathis festiva,Muesebeck,Hymenoptera,"NA",Braconidae,1950,"USDA, ARS 1963. Research on controlling insects without conventional insecticides, ARS 22-85, 23 pp.",I,"NA",Indomalaya,"NA","NA","Parasites of the oriental fruit moth in the eastern United StatesÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦..by Harry Willis Allen
Varshney (1976) A checklist of insect parasites associated with LAC. Oriental Insects 10: 55-78","NA","NA","NA","NA","NA",NA
Agathis malvacearum,Latreille,Hymenoptera,"NA",Braconidae,1925,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Agathis pumila,(Ratzeburg),Hymenoptera,"NA",Braconidae,1933,"NA",I,"NA",Palearctic(Europe),"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 174","NA","NA","NA","NA","NA",NA
Agathis stigmatera,(Cresson),Hymenoptera,"NA",Braconidae,1932,"NA",I,"NA",Neotropic,"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 180",Alabagrus stigma,"NA","NA","NA","NA",NA
Agelastica alni,Linnaeus,Coleoptera,"NA",Chrysomelidae,"NA","NA",N,fruit trees: forest trees: ornamental plants and flowers,Palearctic(Europe),"NA",Herbivore,http://en.wikipedia.org/wiki/Agelastica_alni,"NA","NA","NA","NA","NA",NA
Ageniaspis citricola,Logvinovskaya,Hymenoptera,"NA",Encyrtidae,1994,"NA","NA","NA",Palearctic(Asia),"NA","NA",Frank and McCoy (2007) The risk of classical biological control in Florida. Biological Control 41.2: 151-174.,"NA","NA","NA","NA","NA",NA
Aglaonice hirtipalpis,(Walker),Lepidoptera,"NA",Noctuidae,1984,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Aglossa caprealis,(Hubner),Lepidoptera,"NA",Pyralidae,"NA","NA","NA",ornamental plants and flowers: food crops and vegetables,Cosmopolitan,"NA","NA","NANIAD
Carter (1943) Pest Lepidoptera of Europe: With Special Reference to the British Isles. Dr. W. Junk Publisher. Dordrecht","NA","NA","NA","NA","NA",NA
Aglossa pinguinalis,(Linnaeus),Lepidoptera,"NA",Pyralidae,1949,Cooperative Economic Insect Report 9(35): 811.,"NA",industrial crops: ornamental plants and flowers: fruit trees,Palearctic(Europe)  Palearctic(Asia)  Afrotropic,"NA","NA","NANIAD
PinÃƒÆ’Ã¢â‚¬Å¾ero and LoÃƒÆ’Ã¢â‚¬Å¡pez (1998) Coprophagy in Lepidoptera: observational and experimental evidence in the pyralid moth Aglossa pinguinalis. J. Zool. Lond. 244: 357-362","NA","NA","NA","NA","NA",NA
Agonopterix alstroemeriana,(Clerck),Lepidoptera,"NA",Oecophoridae,1973,"NA",N,"NA",Palearctic(Asia)  Palearctic(Europe),"NA",Herbivore,Bio.Contr. Weeds1998. pg. 131.,"NA","NA","NA","NA","NA",NA
Agonopterix nervosa,Haworth,Lepidoptera,"NA",Oecophoridae,1915,"NA",N,"NA",Palearctic(Europe),"NA","NA","http://www.zoology.ubc.ca/bclepetal/order%20lepidoptera%20et%20al%20text%20files/order_lepidoptera.htm
Bio. Contr. Weeds, 1998. pg. 143.","NA","NA","NA","NA","NA",NA
Agonoscelis puberula,"NA",Hemiptera,Prosorrhyncha,Pentatomidae,1990,"NA","NA","NA",Afrotropic,"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Agonum albipes,Fabricius,Coleoptera,"NA",Carabidae,1840,"NA",N,Feed on brassicae; Larvae feed on plant roots,Palearctic(Europe),"NA",Predator,http://eol.org/pages/2869099/overview,"NA","NA","NA","NA","NA",NA
Agonum mulleri,Herbst,Coleoptera,"NA",Carabidae,1897,"Lindroth, C.H. (1963) The fauna history of Newfoundland illustrated by carabid beetles. Opuscula",I,"NA",Palearctic(Europe),"NA",Predator,http://www.habitas.org.uk/groundbeetles/species.asp?item=7331; http://eol.org/pages/1036906/overview,"NA","NA","NA","NA","NA",NA
